FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,Cumul_Area_ha,Fract_of_total,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SRC_AGY2,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
148346,BC,2021-K22157, ,50.6137,-120.4674,2021,6,8,2021-06-08 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-K22157, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148349,BC,2021-R51059, ,54.3759,-128.8462,2021,6,29,2021-06-29 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-R51059, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148350,BC,2021-VA1062, ,51.4617,-127.639,2021,6,30,2021-06-30 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-VA1062, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148352,BC,2021-VA1063, ,51.4964,-127.6052,2021,6,30,2021-06-30 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-VA1063, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148354,BC,2021-K52800, ,49.4845,-119.6129,2021,9,6,2021-09-06 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-K52800, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148356,BC,2021-R52731, ,54.5291,-127.8444,2021,8,25,2021-08-25 00:00,,,2020-2029,0.009,,,U, ,Fire, ,BC-2021-2021-R52731, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148358,BC,2021-K22854, ,50.5086,-120.094,2021,9,21,2021-09-21 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-K22854, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148362,BC,2021-V12732, ,49.1448,-122.2752,2021,8,26,2021-08-26 00:00,,,2020-2029,0.009,,,U, ,Fire, ,BC-2021-2021-V12732, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148363,BC,2021-V12509, ,49.3641,-121.6151,2021,8,8,2021-08-08 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-V12509, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148364,BC,2021-K22533, ,50.7827,-121.4314,2021,8,7,2021-08-07 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-K22533, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148365,BC,2021-VA2598, ,52.4432,-126.2592,2021,8,13,2021-08-13 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-VA2598, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148367,BC,2021-N42738, ,51.0646,-118.2753,2021,8,22,2021-08-22 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N42738, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148373,BC,2021-N42658, ,51.2368,-118.2384,2021,8,16,2021-08-16 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N42658, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148380,BC,2021-G71128, ,55.7977,-121.4936,2021,6,30,2021-06-30 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-G71128, , ,2022-04-11 00:00,BC,9,9,Boreal PLain,Plaines bornales
148381,BC,2021-K41235, ,50.9908,-119.2939,2021,7,2,2021-07-02 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-K41235, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148383,BC,2021-V91948, ,50.727,-127.5921,2021,7,15,2021-07-15 00:00,,,2020-2029,0.009,,,U, ,Fire, ,BC-2021-2021-V91948, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148392,BC,2021-K71627, ,50.6164,-122.4057,2021,7,8,2021-07-08 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-K71627, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148398,BC,2021-V12181, ,49.8304,-122.7922,2021,7,19,2021-07-19 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-V12181, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148400,BC,2021-N62374, ,49.0135,-118.5881,2021,8,4,2021-08-04 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N62374, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148405,BC,2021-N12394, ,49.6139,-115.7433,2021,8,4,2021-08-04 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N12394, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148406,BC,2021-N72395, ,49.0423,-116.2618,2021,8,4,2021-08-04 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N72395, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148411,BC,2021-V12470, ,49.6632,-121.7771,2021,8,6,2021-08-06 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-V12470, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148415,BC,2021-G12445, ,53.5857,-122.4198,2021,8,4,2021-08-04 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-G12445, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
