SPUID,EcoBoundaryName,AdminBoundaryName,TimeStep,Aboveground Very Fast DOM,Belowground Very Fast DOM,Aboveground Fast DOM,Belowground Fast DOM,Medium DOM,Aboveground Slow DOM,Belowground Slow DOM,Softwood Stem Snag,Softwood Branch Snag,Hardwood Stem Snag,Hardwood Branch Snag,Black Carbon,Peat,Softwood Merchantable,Softwood Foliage,Softwood Other,Softwood Submerchantable,Softwood Coarse Roots,Softwood Fine Roots,Hardwood Merchantable,Hardwood Foliage,Hardwood Other,Hardwood Submerchantable,Hardwood Coarse Roots,Hardwood Fine Roots
1,Boreal Shield East,Newfoundland,0,10.344870286245248,1.1856574322173545,11.829877145542419,2.0588495981544916,7.3940113521666575,44.19642311698042,105.15607226132339,1.842597142409492,0.8827831785698237,0.3128952833444758,0.18127650179132737,0,0,16.669383313318164,8.172802945020745,13.653387734586516,0,7.330588332531633,1.2154289650479229,2.507504746823468,0.7338147168456788,2.682450773063651,0,2.4070243043545854,0.36289023231306483
1,Boreal Shield East,Newfoundland,1,10.181806259632646,1.1688188211082688,11.611880759301005,2.0160511807600825,7.373836949071348,44.23054961937983,105.19773644025999,1.778751257805514,0.884312607739927,0.29695483590539934,0.17927172065442432,0,0,16.739964915868377,8.206682131718736,13.659452207390203,0,7.351000455102562,1.219553425930532,2.493675187116008,0.7288401019152599,2.6685550121341985,0,2.397443020633425,0.36131079450525827
1,Boreal Shield East,Newfoundland,2,10.042558644784005,1.1572014211619996,11.366542562369313,1.9692799592799506,7.318016466516814,44.261521644857055,105.23907416222792,1.7687023361281031,0.8855521358756655,0.29593250907949226,0.17889370814645694,0,0,16.78165127933276,8.275160808779574,13.716578923633572,0,7.381069091745965,1.22662408612026,2.4927352127950995,0.7289982700954737,2.67096552657978,0,2.400558827435888,0.36216647494435106
1,Boreal Shield East,Newfoundland,3,9.930553293268128,1.150676200799332,11.135629620280309,1.9264694747614213,7.259324135616381,44.283208451207,105.27876869296921,1.7700456635738864,0.8877987051910865,0.2956610719326159,0.17868082476606637,0,0,16.84680806740458,8.346375391854652,13.769302559296525,0,7.414304029620252,1.2353682438137918,2.4946192790736545,0.7303343671902788,2.674414335317081,0,2.4050150935821435,0.36336567318163865
1,Boreal Shield East,Newfoundland,4,9.856260745748358,1.1485657946593761,10.95235223650096,1.8937119599691494,7.206518121864765,44.298425048920464,105.31806346251769,1.7687000636543884,0.8888061380603968,0.2966604758645595,0.17877036863973572,0,0,16.87201851704437,8.401498087544576,13.79857639846319,0,7.431427537812686,1.24257799480104,2.493152506777225,0.730276602396051,2.6724342461957256,0,2.405318287637399,0.36419267031310953
1,Boreal Shield East,Newfoundland,5,9.793355311303534,1.1486419081371102,10.755512604338657,1.8573946932912022,7.147256998244103,44.30380400184379,105.35588290986973,1.7750209445316656,0.8928860161689299,0.2982632276455997,0.17961184649279455,0,0,16.930205492623944,8.463411025306506,13.858245639541035,0,7.462795084711248,1.2511191966712072,2.4948521467239493,0.7318351296769544,2.678392936895997,0,2.411141304629132,0.3655546848335269
1,Boreal Shield East,Newfoundland,6,9.759391661307447,1.150915892889508,10.610710866244798,1.8310431399650917,7.096611725677715,44.30850075576815,105.39369448786019,1.7749689460575147,0.8946563190737343,0.2983001669860797,0.17954810862807602,0,0,16.962777450480864,8.518126707999869,13.910638542822545,0,7.486219683534332,1.2587024934445514,2.493782222593479,0.7321108266619848,2.6788238300331644,0,2.4129416998475826,0.36632040033291846
1,Boreal Shield East,Newfoundland,7,9.736548052993454,1.154129674737801,10.470748100950262,1.8050966721420796,7.044216794091561,44.30987667096285,105.43160649464917,1.7760959680449842,0.896447205443948,0.2992833898459722,0.1798615231262444,0,0,17.001387451714493,8.577519099096413,13.9751240527025,0,7.514339475943379,1.2666556634971584,2.501212380285103,0.7341973684364405,2.6872720265758563,0,2.4187084463030715,0.3676268857293592
1,Boreal Shield East,Newfoundland,8,9.728190735806617,1.1583164881324857,10.344187664730175,1.7817006494595058,6.993403278202994,44.30862063457922,105.46900502026035,1.776536152764929,0.89824974343067,0.3002137535180492,0.18026571887464082,0,0,17.059027046743427,8.624813603188462,14.041047672650565,0,7.544825816365835,1.2741000125362787,2.5102636046826188,0.7374457022257684,2.698695584672733,0,2.42626151490963,0.3690863531989558
1,Boreal Shield East,Newfoundland,9,9.719392228110417,1.163035936229165,10.235784180290318,1.764257925953514,6.941312091268057,44.28961655649961,105.50521431237776,1.8026503159449085,0.9139029526942035,0.3037558557931484,0.18165802870015405,0,0,17.10158104624402,8.656397604918299,14.103790923059956,0,7.568018296396916,1.2812946330223551,2.506761457211289,0.7369080115650058,2.693885838177092,0,2.4255258083270883,0.36981639904120067
1,Boreal Shield East,Newfoundland,10,9.719013456776793,1.1680471262442456,10.160904585866884,1.7530620753341162,6.894925019789468,44.26487924123065,105.5411883493831,1.827458340662612,0.9283502895632377,0.30660273300820723,0.18274377880382547,0,0,17.13231341291313,8.677170923400015,14.168723191168082,0,7.58755774553434,1.2876042980237299,2.5027566028112753,0.7359288773651704,2.6891720428637234,0,2.4231165015604486,0.370111976490904
1,Boreal Shield East,Newfoundland,11,9.734288949568956,1.1727533810570843,10.090176828164715,1.7389821491580661,6.852760169775261,44.26028026514971,105.57836560841302,1.8318686931617179,0.9320511168817578,0.30693104536853205,0.18250341169271797,0,0,17.17325859436459,8.6944292656995,14.249798403668159,0,7.612827051691336,1.293255185475168,2.5036750933334955,0.7367158404774743,2.692076112161655,0,2.426248105098201,0.37112443241623794
