EcoBoundaryName,AdminBoundaryName,SPUID,DMID,Name,DMStructureID,DMRow,DMColumn,Proportion,Source,Sink
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,13,26,0.828882,Aboveground Very Fast DOM,CO2
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,13,27,0.00921,Aboveground Very Fast DOM,CH4
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,13,28,0.082888,Aboveground Very Fast DOM,CO
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,14,14,1,Belowground Very Fast DOM,Belowground Very Fast DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,15,15,0.425879,Aboveground Fast DOM,Aboveground Fast DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,15,26,0.516709,Aboveground Fast DOM,CO2
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,15,27,0.005741,Aboveground Fast DOM,CH4
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,15,28,0.051671,Aboveground Fast DOM,CO
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,16,16,1,Belowground Fast DOM,Belowground Fast DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,17,17,0.857786,Medium DOM,Medium DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,17,26,0.127993,Medium DOM,CO2
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,17,27,0.001422,Medium DOM,CH4
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,17,28,0.012799,Medium DOM,CO
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,18,18,0.60202,Aboveground Slow DOM,Aboveground Slow DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,18,26,0.358182,Aboveground Slow DOM,CO2
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,18,27,0.00398,Aboveground Slow DOM,CH4
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,18,28,0.035818,Aboveground Slow DOM,CO
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,19,19,1,Belowground Slow DOM,Belowground Slow DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,20,17,1,Softwood Stem Snag,Medium DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,21,15,1,Softwood Branch Snag,Aboveground Fast DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,22,17,1,Hardwood Stem Snag,Medium DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,23,15,1,Hardwood Branch Snag,Aboveground Fast DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,24,24,1,Black Carbon,Black Carbon
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,25,24,1,Peat,Black Carbon
