Ecozone,FluxID,Source,Sink,ProcessSynonym,Phase,CORefFluxID,Pseudocode,Notes,SeverityClass,Value,InterimValue,SourceSurfaceCanopy
,11,Softwood Other,CO2,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO2,Assuming small trees (<1.3 height?) burn alongside litter,Mod,,TRUE,Canopy
,11,Softwood Other,CO2,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO2,Assuming small trees (<1.3 height?) burn alongside litter,High,,TRUE,Canopy
,12,Softwood Other,CH4,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCH4,,Low,,TRUE,Canopy
,12,Softwood Other,CH4,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCH4,,Mod,,TRUE,Canopy
,12,Softwood Other,CH4,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCH4,,High,,TRUE,Canopy
,13,Softwood Other,CO,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO,,Low,,TRUE,Canopy
,13,Softwood Other,CO,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO,,Mod,,TRUE,Canopy
,13,Softwood Other,CO,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO,,High,,TRUE,Canopy
,19,Softwood Coarse Roots,Softwood Coarse Roots,Surviving coarse roots in conifers,,,1-(conifer mortality rate),,Low,,TRUE,Surface
,19,Softwood Coarse Roots,Softwood Coarse Roots,Surviving coarse roots in conifers,,,1-(conifer mortality rate),,Mod,,TRUE,Surface
,19,Softwood Coarse Roots,Softwood Coarse Roots,Surviving coarse roots in conifers,,,1-(conifer mortality rate),,High,,TRUE,Surface
,20,Softwood Coarse Roots,Aboveground Fast DOM,Coarse Roots killed in fire but not combusted in organic soil,,,(conifer mortality rate)*(conifer coarse root fraction in organic soil),"Note: assuming even if duff burns, coarse live roots don't burn alongside",Low,,TRUE,Surface
,20,Softwood Coarse Roots,Aboveground Fast DOM,Coarse Roots killed in fire but not combusted in organic soil,,,(conifer mortality rate)*(conifer coarse root fraction in organic soil),"Note: assuming even if duff burns, coarse live roots don't burn alongside",Mod,,TRUE,Surface
,20,Softwood Coarse Roots,Aboveground Fast DOM,Coarse Roots killed in fire but not combusted in organic soil,,,(conifer mortality rate)*(conifer coarse root fraction in organic soil),"Note: assuming even if duff burns, coarse live roots don't burn alongside",High,,TRUE,Surface
,21,Softwood Coarse Roots,Belowground Fast DOM,Coarse Roots killed in fire but not combusted in mineral soil,,,(conifer mortality rate)*(conifer coarse root fraction in mineral soil),,Low,,TRUE,Surface
,21,Softwood Coarse Roots,Belowground Fast DOM,Coarse Roots killed in fire but not combusted in mineral soil,,,(conifer mortality rate)*(conifer coarse root fraction in mineral soil),,Mod,,TRUE,Surface
,21,Softwood Coarse Roots,Belowground Fast DOM,Coarse Roots killed in fire but not combusted in mineral soil,,,(conifer mortality rate)*(conifer coarse root fraction in mineral soil),,High,,TRUE,Surface
,22,Softwood Fine Roots,Softwood Fine Roots,Surviving fine roots,,,1-(conifer mortality rate),,Low,,TRUE,Surface
,22,Softwood Fine Roots,Softwood Fine Roots,Surviving fine roots,,,1-(conifer mortality rate),,Mod,,TRUE,Surface
,22,Softwood Fine Roots,Softwood Fine Roots,Surviving fine roots,,,1-(conifer mortality rate),,High,,TRUE,Surface
,23,Softwood Fine Roots,Aboveground Very Fast DOM,Fine roots killed but not burned in organic soil,,,(conifer mortality rate)*(fine root fraction in organic soil)*(1-fraction of duff consumed),,Low,,TRUE,Surface
,23,Softwood Fine Roots,Aboveground Very Fast DOM,Fine roots killed but not burned in organic soil,,,(conifer mortality rate)*(fine root fraction in organic soil)*(1-fraction of duff consumed),,Mod,,TRUE,Surface
,23,Softwood Fine Roots,Aboveground Very Fast DOM,Fine roots killed but not burned in organic soil,,,(conifer mortality rate)*(fine root fraction in organic soil)*(1-fraction of duff consumed),,High,,TRUE,Surface
,24,Softwood Fine Roots,Belowground Very Fast DOM,Fine roots killed but not burned in mineral soil,,,(conifer mortality rate)*(fine root fraction in mineral soil),,Low,,TRUE,Surface
,24,Softwood Fine Roots,Belowground Very Fast DOM,Fine roots killed but not burned in mineral soil,,,(conifer mortality rate)*(fine root fraction in mineral soil),,Mod,,TRUE,Surface
,24,Softwood Fine Roots,Belowground Very Fast DOM,Fine roots killed but not burned in mineral soil,,,(conifer mortality rate)*(fine root fraction in mineral soil),,High,,TRUE,Surface
,25,Softwood Fine Roots,CO2,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO2,,Low,,TRUE,Surface
,25,Softwood Fine Roots,CO2,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO2,,Mod,,TRUE,Surface
,25,Softwood Fine Roots,CO2,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO2,,High,,TRUE,Surface
,26,Softwood Fine Roots,CH4,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCH4,,Low,,TRUE,Surface
,26,Softwood Fine Roots,CH4,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCH4,,Mod,,TRUE,Surface
,26,Softwood Fine Roots,CH4,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCH4,,High,,TRUE,Surface
,27,Softwood Fine Roots,CO,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO,,Low,,TRUE,Surface
,27,Softwood Fine Roots,CO,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO,,Mod,,TRUE,Surface
,27,Softwood Fine Roots,CO,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO,,High,,TRUE,Surface
,28,Hardwood Merchantable,Hardwood Merchantable,Survival rate of broadleaf trees,,,"f(severity class,ecozone)",Ellen provides,Low,,TRUE,Canopy
,28,Hardwood Merchantable,Hardwood Merchantable,Survival rate of broadleaf trees,,,"f(severity class,ecozone)",Ellen provides,Mod,,TRUE,Canopy
,28,Hardwood Merchantable,Hardwood Merchantable,Survival rate of broadleaf trees,,,"f(severity class,ecozone)",Ellen provides,High,,TRUE,Canopy
,29,Hardwood Merchantable,Hardwood Stem Snag,Mortality rate of broadleaves,,,mortality rate of broadleafs,Note: not accounting for trees killed that immediately fall to ground,Low,,TRUE,Canopy
,29,Hardwood Merchantable,Hardwood Stem Snag,Mortality rate of broadleaves,,,mortality rate of broadleafs,Note: not accounting for trees killed that immediately fall to ground,Mod,,TRUE,Canopy
,29,Hardwood Merchantable,Hardwood Stem Snag,Mortality rate of broadleaves,,,mortality rate of broadleafs,Note: not accounting for trees killed that immediately fall to ground,High,,TRUE,Canopy
,30,Hardwood Merchantable,Black Carbon,Live broadleaf stemwood to black carbon (incomplete combustion) rate,,,0,live stemwood to BC should be precisely 0,Low,,TRUE,Canopy
,30,Hardwood Merchantable,Black Carbon,Live broadleaf stemwood to black carbon (incomplete combustion) rate,,,0,live stemwood to BC should be precisely 0,Mod,,TRUE,Canopy
,30,Hardwood Merchantable,Black Carbon,Live broadleaf stemwood to black carbon (incomplete combustion) rate,,,0,live stemwood to BC should be precisely 0,High,,TRUE,Canopy
,31,Hardwood Foliage,Hardwood Foliage,Green fraction of canopy,,,(1-Mortality)*(1-CFB),Ellen provides,Low,,TRUE,Canopy
,31,Hardwood Foliage,Hardwood Foliage,Green fraction of canopy,,,(1-Mortality)*(1-CFB),Ellen provides,Mod,,TRUE,Canopy
,31,Hardwood Foliage,Hardwood Foliage,Green fraction of canopy,,,(1-Mortality)*(1-CFB),Ellen provides,High,,TRUE,Canopy
,32,Hardwood Foliage,Aboveground Very Fast DOM,Post-fire litterfall,,,Mortality-CFB,Ellen provides,Low,,TRUE,Canopy
,32,Hardwood Foliage,Aboveground Very Fast DOM,Post-fire litterfall,,,Mortality-CFB,Ellen provides,Mod,,TRUE,Canopy
,32,Hardwood Foliage,Aboveground Very Fast DOM,Post-fire litterfall,,,Mortality-CFB,Ellen provides,High,,TRUE,Canopy
,33,Hardwood Foliage,CO2,Crown Fraction Burned,,,CFB*FlamingCO2,Ellen provides,Low,,TRUE,Canopy
,33,Hardwood Foliage,CO2,Crown Fraction Burned,,,CFB*FlamingCO2,Ellen provides,Mod,,TRUE,Canopy
,33,Hardwood Foliage,CO2,Crown Fraction Burned,,,CFB*FlamingCO2,Ellen provides,High,,TRUE,Canopy
,34,Hardwood Foliage,CH4,Crown Fraction Burned,,,CFB*FlamingCH4,Ellen provides,Low,,TRUE,Canopy
,34,Hardwood Foliage,CH4,Crown Fraction Burned,,,CFB*FlamingCH4,Ellen provides,Mod,,TRUE,Canopy
,34,Hardwood Foliage,CH4,Crown Fraction Burned,,,CFB*FlamingCH4,Ellen provides,High,,TRUE,Canopy
,35,Hardwood Foliage,CO,Crown Fraction Burned,,,CFB*FlamingCO,Ellen provides,Low,,TRUE,Canopy
,35,Hardwood Foliage,CO,Crown Fraction Burned,,,CFB*FlamingCO,Ellen provides,Mod,,TRUE,Canopy
,35,Hardwood Foliage,CO,Crown Fraction Burned,,,CFB*FlamingCO,Ellen provides,High,,TRUE,Canopy
,36,Hardwood Other,Hardwood Other,"Surviving Live branches, stumps and small trees including bark",,,"((1-mortality rate of deciduous)*branch fraction of ""other"" pool)+(1-CFB*stump fraction of other pool)+(1-small tree combustion rate f(severity)*small tree fraction of other pool)+(1-CFB*bark fraction of other pool)",,Low,,TRUE,Canopy
,36,Hardwood Other,Hardwood Other,"Surviving Live branches, stumps and small trees including bark",,,"((1-mortality rate of deciduous)*branch fraction of ""other"" pool)+(1-CFB*stump fraction of other pool)+(1-small tree combustion rate f(severity)*small tree fraction of other pool)+(1-CFB*bark fraction of other pool)",,Mod,,TRUE,Canopy
,36,Hardwood Other,Hardwood Other,"Surviving Live branches, stumps and small trees including bark",,,"((1-mortality rate of deciduous)*branch fraction of ""other"" pool)+(1-CFB*stump fraction of other pool)+(1-small tree combustion rate f(severity)*small tree fraction of other pool)+(1-CFB*bark fraction of other pool)",,High,,TRUE,Canopy
,37,Hardwood Other,Hardwood Branch Snag,"Portion of ""other"" pool as dead but unburned large branches",,,"(mortality rate of deciduous*branch fraction of ""other"" pool)",,Low,,TRUE,Canopy
,37,Hardwood Other,Hardwood Branch Snag,"Portion of ""other"" pool as dead but unburned large branches",,,"(mortality rate of deciduous*branch fraction of ""other"" pool)",,Mod,,TRUE,Canopy
,37,Hardwood Other,Hardwood Branch Snag,"Portion of ""other"" pool as dead but unburned large branches",,,"(mortality rate of deciduous*branch fraction of ""other"" pool)",,High,,TRUE,Canopy
,38,Hardwood Other,CO2,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO2,,Low,,TRUE,Canopy
,38,Hardwood Other,CO2,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO2,,Mod,,TRUE,Canopy
,38,Hardwood Other,CO2,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO2,,High,,TRUE,Canopy
,39,Hardwood Other,CH4,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCH4,,Low,,TRUE,Canopy
,39,Hardwood Other,CH4,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCH4,,Mod,,TRUE,Canopy
,39,Hardwood Other,CH4,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCH4,,High,,TRUE,Canopy
