"","Ecozone","FluxID","Source","Sink","ProcessSynonym","Phase","CORefFluxID","Pseudocode","Notes","SeverityClass","Value","InterimValue","SourceSurfaceCanopy"
"45","BSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"46","TSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0.1","TRUE","Canopy"
"47","MC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"48","HP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"49","TC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"50","PM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"51","AM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"52","MP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"53","BSW","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"54","TP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"55","TSW","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"56","BP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"57","BC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.65","TRUE","Canopy"
"58","BSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"59","TSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"60","MC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.74","TRUE","Canopy"
"61","HP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"62","TC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.65","TRUE","Canopy"
"63","PM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.38","TRUE","Canopy"
"64","AM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.34","TRUE","Canopy"
"65","MP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.34","TRUE","Canopy"
"66","BSW","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"67","TP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"68","TSW","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"69","BP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"70","BC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"71","BSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"72","TSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"73","MC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"74","HP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"75","TC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"76","PM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"77","AM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"78","MP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"79","BSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"80","TP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"81","TSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"82","BP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"83","BC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"84","BSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"85","TSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"86","MC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"87","HP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"88","TC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"89","PM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"90","AM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"91","MP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"92","BSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"93","TP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"94","TSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"95","BP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"96","BC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"97","BSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"98","TSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"99","MC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"100","HP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"101","TC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"102","PM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"103","AM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"104","MP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"105","BSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"106","TP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"107","TSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"108","BP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"109","BC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"110","BSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"111","TSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"112","MC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"113","HP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"114","TC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"115","PM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"116","AM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"117","MP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"118","BSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.55","TRUE","Canopy"
"119","TP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.55","TRUE","Canopy"
"120","TSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.9","TRUE","Canopy"
"121","BP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.55","TRUE","Canopy"
"122","BC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.76","TRUE","Canopy"
"123","BSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.55","TRUE","Canopy"
"124","TSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.9","TRUE","Canopy"
"125","MC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.72","TRUE","Canopy"
"126","HP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.55","TRUE","Canopy"
"127","TC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.76","TRUE","Canopy"
"128","PM","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.87","TRUE","Canopy"
"129","AM","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.72","TRUE","Canopy"
"130","MP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.72","TRUE","Canopy"
"131","BSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"132","TP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"133","TSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"134","BP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"135","BC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.35","TRUE","Canopy"
"136","BSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"137","TSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"138","MC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.26","TRUE","Canopy"
"139","HP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"140","TC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.35","TRUE","Canopy"
"141","PM","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.62","TRUE","Canopy"
"142","AM","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.66","TRUE","Canopy"
"143","MP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.66","TRUE","Canopy"
"144","BSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"145","TP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"146","TSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"147","BP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"148","BC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"149","BSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"150","TSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"151","MC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"152","HP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"153","TC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"154","PM","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
