SPUID,EcoBoundaryName,EcoBoundaryNameShort,AdminBoundaryName,TimeStep,Aboveground Very Fast DOM,Belowground Very Fast DOM,Aboveground Fast DOM,Belowground Fast DOM,Medium DOM,Aboveground Slow DOM,Belowground Slow DOM,Softwood Stem Snag,Softwood Branch Snag,Hardwood Stem Snag,Hardwood Branch Snag,Black Carbon,Peat,Softwood Merchantable,Softwood Foliage,Softwood Other,Softwood Submerchantable,Softwood Coarse Roots,Softwood Fine Roots,Hardwood Merchantable,Hardwood Foliage,Hardwood Other,Hardwood Submerchantable,Hardwood Coarse Roots,Hardwood Fine Roots
1,Boreal Shield East,BSE,Newfoundland,0,10.344591748691377,1.1857023117995946,11.825564469291484,2.0579485122364463,7.370275327475892,44.16621016397916,104.99098346572765,1.838228527467089,0.8826471586165082,0.31059003897514476,0.18100679708702333,0,0,16.66938883964714,8.172802760946393,13.65335320831158,0,7.330586976886728,1.2154239676511993,2.5075208329172884,0.7338201993676691,2.6824929550087595,0,2.4071465513072687,0.36296457699894286
1,Boreal Shield East,BSE,Newfoundland,1,10.181987895005886,1.168878201565357,11.60883988090789,2.015659897340768,7.350202682307236,44.2014257,105.03481329692666,1.7779396527161981,0.8848904337078071,0.29502255901302343,0.17906875715338444,0,0,16.73596879000878,8.205992374938473,13.659544137030364,0,7.350071048812406,1.2194631253764339,2.492624964934942,0.7287793068205957,2.668527484,0,2.3973514326686347,0.3613739543143593
1,Boreal Shield East,BSE,Newfoundland,2,10.041575458588806,1.1571951722818634,11.363439262606983,1.9686929271153695,7.2942004306104105,44.23232423296401,105.0761202,1.7688545914672436,0.8858687026001892,0.29383174602006296,0.17862561371297442,0,0,16.780172961578746,8.275852984862109,13.714262610285477,0,7.380288680267851,1.2267153769419137,2.4919971284062337,0.7289409169579205,2.670670848488936,0,2.4003045594664694,0.3622206130489007
1,Boreal Shield East,BSE,Newfoundland,3,9.930221713289177,1.150700377840491,11.130886210415468,1.925555231030091,7.236002147292813,44.25428790712435,105.11642998086901,1.7693360589950655,0.8881701887522205,0.29372974170162586,0.1784370921586953,0,0,16.84456830704723,8.346426241009626,13.769040532117556,0,7.413732379849503,1.2353954051115505,2.4943190373234905,0.730426761,2.674507127839892,0,2.4050387601821077,0.3635025494843964
1,Boreal Shield East,BSE,Newfoundland,4,9.856061804873182,1.1486184436778277,10.948578130815362,1.892729981945678,7.183698447460656,44.269364831374844,105.15576534032729,1.7676756337700472,0.8890875284779362,0.29452370450197657,0.17850861178732072,0,0,16.870214590533873,8.401439347473252,13.79783879800475,0,7.430846359348839,1.2425810275987348,2.4926768878317094,0.7303226921224075,2.672502285531824,0,2.405274847354253,0.3643480052389381
1,Boreal Shield East,BSE,Newfoundland,5,9.794778251688268,1.1487206125729683,10.751282883612975,1.855860779863687,7.124850422539019,44.27626553386223,105.1949149880929,1.7727105333409128,0.8930201078183637,0.29582360992963014,0.17921078885109698,0,0,16.92873434671327,8.462548032,13.85758352116709,0,7.4622953825505425,1.2509528427794112,2.4953986368587477,0.7321561856047035,2.679519024676518,0,2.4118562050598387,0.3658039431808167
1,Boreal Shield East,BSE,Newfoundland,6,9.760909905995286,1.1509697681230433,10.606790406145121,1.8294786320107024,7.074273630825404,44.28096441216221,105.23241301334058,1.7725888197571138,0.8947931416447794,0.2958942287740817,0.17919635556550323,0,0,16.959883039256695,8.516899512768937,13.910424186859501,0,7.485456546897677,1.2585033454689327,2.494327950987356,0.7324474479779904,2.6798888581971263,0,2.413620303,0.366563263
1,Boreal Shield East,BSE,Newfoundland,7,9.738124042769286,1.1541626406797534,10.467694777946367,1.803525326500963,7.022306015743235,44.2824418,105.2702771,1.7735230869482264,0.8965068477323157,0.29687110452757165,0.17953843674447564,0,0,16.99830329150475,8.575914915851262,13.97449968267496,0,7.5134045891348915,1.266410777877112,2.5017424961944936,0.7345003537918584,2.6883352919267516,0,2.4193186359975374,0.3678308587241965
1,Boreal Shield East,BSE,Newfoundland,8,9.730127442893986,1.1583109978362822,10.341794489726706,1.7802389316605498,6.9718800538497225,44.28138584133764,105.30803908648681,1.7737272876629895,0.8981876060131704,0.2981675481058353,0.18003560222622772,0,0,17.054559856977978,8.622289236,14.039065399817998,0,7.543125746466323,1.2738072681193597,2.511794925,0.7379389493826503,2.7004588442055115,0,2.427006462138178,0.3693169391074792
1,Boreal Shield East,BSE,Newfoundland,9,9.722166460421068,1.1629838737372855,10.231799591710306,1.7615111078209735,6.9189164382667165,44.2639129,105.34655704621787,1.7954249697680447,0.9116924056380147,0.3010218641220475,0.18107167092290954,0,0,17.10407606136841,8.654819506,14.106298789520523,0,7.568930352355895,1.2811427930295367,2.5079729611021118,0.737379096,2.6955024226097892,0,2.4266910349789357,0.3701014881733497
1,Boreal Shield East,BSE,Newfoundland,10,9.722173280493063,1.168017296634557,10.155718244863326,1.7495863711654582,6.871870424952428,44.24155054,105.38421494329822,1.8148279265558982,0.9235893207227973,0.3041562526055535,0.18227726250669998,0,0,17.14040052113393,8.675569924571878,14.174839375146195,0,7.5904085633681175,1.287551215260413,2.5043277379768583,0.7364878367748515,2.6910753473430113,0,2.4246612687632534,0.3704617478831151
1,Boreal Shield East,BSE,Newfoundland,11,9.736868463579055,1.172787006096237,10.091198665505104,1.736623652602228,6.829813682321944,44.237015355931156,105.42158625350108,1.821178846628935,0.928357288,0.30415207835066477,0.18198700179140598,0,0,17.18133633194502,8.692927702,14.249795460323716,0,7.614296103607989,1.293245101166259,2.504117227263781,0.736951976,2.692725776150057,0,2.426848811035153,0.37137018283365475
