ECOZONE,year,DC05,DC25,DC50,DC75,DC95,nFire,Ecozone,Median.Forest.Floor.Load.kg.m2
6,2006,125.0687714,185.7457581,229.9726257,280.1164246,346.3566895,62,boreal shield west,8.55
6,2007,79.28678131,191.4833679,240.0062866,277.6741943,394.1611023,18,boreal shield west,8.55
6,2008,87.2922287,155.4148254,204.1625824,239.5469055,343.7349548,37,boreal shield west,8.55
6,2009,51.82506943,79.71537018,90.59932709,97.83747864,139.8937836,3,boreal shield west,8.55
6,2010,101.9013672,195.1329041,235.8338318,315.7362976,406.0015564,64,boreal shield west,8.55
6,2011,130.2620697,180.2489777,226.1735535,263.335907,322.7215576,51,boreal shield west,8.55
6,2012,75.34210968,168.6308594,233.202713,256.7379456,303.7954102,63,boreal shield west,8.55
6,2013,115.7401352,210.0750732,290.2134094,370.1983337,466.3015747,25,boreal shield west,8.55
6,2014,123.8420944,210.2013397,273.3988953,326.9103088,365.2608337,30,boreal shield west,8.55
6,2015,142.3933563,239.6715546,299.9596863,329.5855713,361.4978027,53,boreal shield west,8.55
6,2016,35.91209793,84.21343231,166.9650269,201.1663513,282.4842224,16,boreal shield west,8.55
6,2017,135.1103058,262.1257629,310.2295837,347.2218018,394.0512695,55,boreal shield west,8.55
6,2018,88.23348236,157.0618439,209.419281,269.2695618,353.999115,45,boreal shield west,8.55
6,2019,161.1086426,202.115921,237.1400146,275.8528137,334.2851563,22,boreal shield west,8.55
6,2020,77.86662292,136.7508545,149.9175568,286.4678345,297.4700317,3,boreal shield west,8.55
15,2002,146.8249207,165.2811737,177.0310211,192.6817627,208.011734,12,hudson plains,7.65
15,2003,230.8329773,333.2867737,395.2829895,425.8737488,459.7109375,37,hudson plains,7.65
15,2004,192.2115021,207.9494629,232.0232544,249.7996368,258.9550171,1,hudson plains,7.65
15,2005,87.22709656,95.10720825,105.4256668,126.4747391,275.6230621,9,hudson plains,7.65
15,2006,50.04898834,58.6922226,79.35907745,108.2043762,243.9672089,4,hudson plains,7.65
15,2007,0,79.73068237,209.7003784,226.5382843,241.1693115,3,hudson plains,7.65
15,2009,97.08185577,131.1034546,141.9862518,154.2624512,174.3484802,7,hudson plains,7.65
15,2010,99.22358704,153.9888458,162.0084076,171.3128967,220.7354889,3,hudson plains,7.65
15,2011,195.6228333,202.3449059,202.7128906,209.5839691,217.4793701,1,hudson plains,7.65
15,2012,82.96269226,119.7428436,136.7058563,172.9796448,244.9992676,3,hudson plains,7.65
15,2013,140.8617096,182.5648346,205.2082825,225.3204956,254.4488525,11,hudson plains,7.65
15,2014,32.38293457,138.2080078,157.6593018,199.5961761,292.7604065,4,hudson plains,7.65
15,2015,39.39067841,73.31125641,116.2421951,135.5749359,147.579422,3,hudson plains,7.65
15,2017,173.9227295,211.3736115,234.0265045,260.0317993,317.1426086,11,hudson plains,7.65
