"","ID","Area_ha","EcoBoundaryName_select","AdminBoundaryName_select","Low_frac","Mod_frac","High_frac","Median_BUI","MCE","CH4_MgC","CO_MgC","CO2_MgC","NMOG_MgC","PM10_MgC","PM25_MgC","SumC_direct_emissions","ER_CO_CO2","ER_CH4_CO2","Prop_surface","CO2e_Mg","X","Y","unit_id","MgC_perha"
"91","503",1599.57563529,"Boreal Shield East","Quebec",0.052,0.478,0.266,39.271,0.908,373.416,4753.95,29751.061,1046.904,1436.735,1208.725,38570.791,0.16,0.013,0.785,135535.05,-74.8499964843966,48.4814206162046,15,24.1131398535007
"92","502",255.991779203,"Boreal Shield East","Quebec",0.018,0.302,0.477,34.369,0.909,59.307,756.601,4804.488,166.711,228.795,192.565,6208.466,0.157,0.012,0.785,21821.245,-74.8319695669527,48.3864494061221,15,24.2525991238052
"93","498",259.364006049,"Boreal Shield East","Quebec",0.027,0.317,0.588,36.047,0.909,71.037,905.791,5736.299,199.562,273.879,230.491,7417.059,0.158,0.012,0.785,26068.306,-74.227364997467,48.7867977262014,15,28.5971022463261
"94","497",1830.66332135,"Boreal Shield East","Quebec",0.049,0.439,0.238,38.256,0.908,387.416,4933.516,30914.638,1086.504,1491.084,1254.496,40067.654,0.16,0.013,0.785,140796.696,-74.170039739083,48.6962721470514,15,21.8869595150094
"95","494",390.111406145,"Boreal Shield East","Quebec",0.066,0.449,0.198,39.982,0.907,81.51,1037.202,6464.296,228.374,313.41,263.642,8388.435,0.16,0.013,0.785,29474.131,-74.0452356447914,48.0434918924618,15,21.5026653101297
"96","603",233.906325654,"Boreal Shield East","Quebec",0.247,0.34,0.266,45.374,0.905,58.855,746.713,4544.252,164.264,225.418,189.497,5928.999,0.164,0.013,0.785,20823.701,-73.8189372068372,48.457837081649,15,25.3477497174246
"97","509",181.317736291,"Boreal Shield East","Quebec",0.064,0.339,0.264,53.78,0.906,38.276,485.344,2971.497,106.789,146.547,123.213,3871.667,0.163,0.013,0.785,13601.151,-75.9295654040472,47.4249598677824,15,21.3529414121203
"98","2030",173.230693697,"Boreal Shield East","Quebec",0.027,0.302,0.281,52.196,0.906,33.491,425.044,2620.682,93.547,128.376,107.956,3409.096,0.162,0.013,0.785,11977.647,-74.8546751355251,47.2252822482203,15,19.6795147975502
"99","482",315.872037156,"Boreal Shield East","Quebec",0.024,0.367,0.515,50.569,0.907,90.675,1151.543,7135.114,253.486,347.869,292.575,9271.262,0.161,0.013,0.785,32576.659,-73.3547064900419,46.9456939064846,15,29.3513224009164
"100","484",254.723473032,"Boreal Shield East","Quebec",0.036,0.373,0.463,51.094,0.907,70.329,892.894,5519.659,196.533,269.709,226.824,7175.947,0.162,0.013,0.785,25213.257,-73.4099853652986,47.0024696869934,15,28.1715183708198
"101","487",953.722537424,"Boreal Shield East","Quebec",0.048,0.307,0.279,49.931,0.906,188.593,2394.214,14766.336,526.943,723.137,608.118,19207.342,0.162,0.013,0.785,67482.35,-73.7404800202205,47.1235618843742,15,20.1393395314731
"102","549",6833.15542404,"Boreal Shield East","Quebec",0.042,0.415,0.484,52.073,0.907,2043.994,25942.893,160078.386,5709.842,7835.758,6589.499,208200.372,0.162,0.013,0.785,731509.498,-75.7486783273613,47.9073895193017,15,30.4691404014494
"103","492",228.964310346,"Boreal Shield East","Quebec",0.052,0.525,0.311,36.378,0.908,58.809,749.379,4714.029,165.06,226.525,190.604,6104.407,0.159,0.012,0.785,21451.892,-74.0609916579018,47.683621276917,15,26.6609542368211
