Site,Plot_R,FireType,Depth,FuelType,DOB,Load,FFFC,AveBD,FFMC,DMC,DC,Model,ISI,BUI,FWI,Frac_load_consump,Frac_load_consump_max1,Frac_depth_consump
WBNP,01-Feb,Wild,5.984999949,C3,4.1,3.4,2.98,56.741201,85.9764,78.3122,339.943,1.708715,3.0208,96.5767,12.6214,0.879,0.879,0.682
WBNP,01-Mar,Wild,5.844999933,C3,3.8,4.13,1.72,70.70003475,85.9768,78.3255,339.998,1.70899,3.0226,96.5884,12.6273,0.415,0.415,0.645
WBNP,21-Jan,Wild,8.520000076,M2,3.3,4.56,1.68,53.53381244,85.9747,78.3329,340.026,1.70913,3.0253,96.5853,12.6342,0.369,0.369,0.391
WBNP,14-Jan,Wild,7.284999943,C3,4.9,3.85,2.12,52.89171056,85.9528,78.3557,340.104,1.70952,3.0448,96.5148,12.6791,0.55,0.55,0.677
WBNP,18-Jan,Wild,7.239999986,C3,4.5,2.77,0.95,38.22640479,85.9554,78.3651,340.141,1.709705,3.0443,96.5323,12.6796,0.345,0.345,0.623
Green Lk,14-Jan,Wild,12.73999987,C3,8.8,4.29,1.4,33.67040509,85.9927,28.6516,346.164,1.73982,10.855,47.4715,21.8995,0.326,0.326,0.688
WBNP,15-Jan,Wild,10.13500004,C2,7.1,4.61,2.66,45.52331555,85.9925,81.6765,351.707,1.767535,4.3308,100.776,17.2208,0.577,0.577,0.696
Thompson,20-Jan,Wild,21.71500006,C2,8.7,22.16,5.47,102.0497984,90.7612,36.0681,354.391,1.780955,11.6046,57.4046,26.388,0.247,0.247,0.399
WBNP,13-Jan,Wild,11.57,C3,7.7,3.32,1.78,28.68124724,84.2355,77.5411,356.863,1.793315,3.8917,98.3388,15.8849,0.536,0.536,0.669
Dawson City,01-Mar,Wild,8.129999995,M2,1.6,6.38,0.43,78.49084133,80.1279,67.6082,368.4,1.851,2.1942,88.5199,9.5128,0.067,0.067,0.199
Dawson City,25-Jan,Wild,8.515000117,C2,2,9.29,0.92,109.10749,80.1856,67.5885,370.079,1.859395,2.2038,88.6596,9.5544,0.099,0.099,0.237
Green Lk,01-Dec,Wild,5.809999937,C3,5.3,2.21,4.01,38.08919211,91.3299,42.0973,376.359,1.890795,24.3348,65.7474,45.5441,1.814,1,0.914
Green Lk,01-Nov,Wild,12.22499995,M2,9.2,4.72,2.59,38.60549531,91.331,42.1209,376.62,1.8921,24.3458,65.7861,45.5711,0.549,0.549,0.755
