"","Ecozone","FluxID","Source","Sink","ProcessSynonym","Phase","CORefFluxID","Pseudocode","Notes","SeverityClass","Value","InterimValue","SourceSurfaceCanopy"
"41","BC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"42","BSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"43","TSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0.1","TRUE","Canopy"
"44","MC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"45","HP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"46","TC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"47","PM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"48","AM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"49","BSW","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"50","TP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"51","TSW","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"52","BP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"53","BC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.65","TRUE","Canopy"
"54","BSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"55","TSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"56","MC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.74","TRUE","Canopy"
"57","HP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.81","TRUE","Canopy"
"58","TC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.65","TRUE","Canopy"
"59","PM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.38","TRUE","Canopy"
"60","AM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Mod","0.34","TRUE","Canopy"
"61","BSW","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"62","TP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"63","TSW","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"64","BP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"65","BC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"66","BSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"67","TSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"68","MC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"69","HP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"70","TC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"71","PM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"72","AM","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"73","BSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"74","TP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"75","TSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"76","BP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"77","BC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"78","BSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"79","TSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
